Date,Open,High,Low,Close,Volume,AdjustedClose
20240102,5650.000,5675.000,5625.000,5675.000,91143100,5675.000
20240103,5625.000,5650.000,5600.000,5600.000,83659700,5600.000
20240104,5600.000,5700.000,5575.000,5700.000,118467900,5700.000
20240105,5725.000,5850.000,5700.000,5750.000,134929600,5750.000
20240108,5750.000,5800.000,5625.000,5625.000,152015000,5625.000
20240109,5625.000,5700.000,5625.000,5700.000,105666200,5700.000
20240110,5625.000,5700.000,5625.000,5700.000,82626400,5700.000
20240111,5750.000,5800.000,5700.000,5750.000,132206400,5750.000
20240112,5800.000,5850.000,5775.000,5850.000,109715700,5850.000
20240115,5850.000,5900.000,5775.000,5825.000,115284200,5825.000
20240116,5825.000,5875.000,5775.000,5825.000,97074300,5825.000
20240117,5825.000,5825.000,5750.000,5775.000,107941600,5775.000
20240118,5800.000,5800.000,5700.000,5750.000,87259100,5750.000
20240119,5750.000,5800.000,5700.000,5800.000,75370700,5800.000
20240122,5775.000,5800.000,5700.000,5775.000,97545600,5775.000
20240123,5700.000,5750.000,5650.000,5700.000,122999700,5700.000
20240124,5675.000,5700.000,5575.000,5650.000,104225000,5650.000
20240125,5575.000,5650.000,5525.000,5525.000,120478800,5525.000
20240126,5450.000,5475.000,5400.000,5425.000,185244400,5425.000
20240129,5400.000,5575.000,5400.000,5575.000,145629600,5575.000
20240130,5525.000,5650.000,5475.000,5625.000,150287800,5625.000
20240131,5725.000,5775.000,5675.000,5700.000,245117200,5700.000
20240201,5775.000,5800.000,5725.000,5750.000,156634200,5750.000
20240202,5800.000,5850.000,5750.000,5850.000,177209700,5850.000
20240205,5800.000,5825.000,5750.000,5775.000,113760000,5775.000
20240206,5900.000,5900.000,5800.000,5825.000,126704300,5825.000
20240207,5850.000,5900.000,5825.000,5850.000,147571500,5850.000
20240212,5875.000,6025.000,5850.000,6025.000,200856200,6025.000
20240213,6050.000,6050.000,5950.000,6000.000,145852200,6000.000
20240215,6275.000,6275.000,6100.000,6125.000,308685100,6125.000
20240216,6150.000,6200.000,6125.000,6150.000,130814400,6150.000
20240219,6125.000,6175.000,6075.000,6100.000,111382900,6100.000
20240220,6175.000,6300.000,6175.000,6300.000,160872600,6300.000
20240221,6325.000,6375.000,6225.000,6300.000,169293100,6300.000
20240222,6250.000,6300.000,6225.000,6250.000,100256000,6250.000
20240223,6125.000,6175.000,6050.000,6125.000,148643000,6125.000
20240226,6100.000,6200.000,6075.000,6175.000,110509000,6175.000
20240227,6125.000,6200.000,6125.000,6125.000,99187500,6125.000
20240228,6100.000,6225.000,6100.000,6225.000,118745300,6225.000
20240229,6150.000,6200.000,6125.000,6125.000,173845800,6125.000
20240301,6175.000,6175.000,6075.000,6125.000,76286400,6125.000
20240304,6125.000,6125.000,6050.000,6050.000,70354900,6050.000
20240305,6100.000,6175.000,6075.000,6125.000,115084600,6125.000
